"CUST_ID","GROUP_ORG","PLUGIN","PLUGIN_NAME","FAMILY","SEVERITY","IP_ADDRESS","PROTOCOL","PORT","MAC_ADDRESS","DNS_NAME","NETBIOS_NAME","PLUGIN_TEXT","FIRST_DISCOVERED","LAST_OBSERVED","VULN_PUBLICATION_DATE","PATCH_PUBLICATION_DATE","PLUGIN_PUBLICATION_DATE","UPLOAD_DATE"
"901","NULL","Plugin","Plugin Name","Family","Severity","IP Address","Protocol","Port","MAC Address","DNS Name","NetBIOS Name","Plugin Text","First Discovered","Last Observed","Vuln Publication Date","Plugin","Plugin","2019-12-21 14:57:15.349"
"902","NULL","35291","SSL Certificate Signed Using Weak Hashing Algorithm","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","35291","35291","2019-12-21 14:57:15.351"
"903","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","42873","42873","2019-12-21 14:57:15.351"
"904","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","51192","51192","2019-12-21 14:57:15.351"
"905","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","57582","57582","2019-12-21 14:57:15.352"
"906","NULL","69551","SSL Certificate Chain Contains RSA Keys Less Than 2048 bits","General","Low","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","69551","69551","2019-12-21 14:57:15.352"
"907","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX025","N/A","""Oct 15"," 2019 05:10:45 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.352"
"908","NULL","83875","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)","Misc.","Low","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","83875","83875","2019-12-21 14:57:15.352"
"909","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX025","N/A","""Nov 25"," 2019 17:12:47 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.353"
"910","NULL","42263","Unencrypted Telnet Server","Misc.","Medium","EXAMPLE","TCP","9131",,,"ServerHostEX025","N/A","""Dec 2"," 2019 19:10:23 EST""","""Dec 9","42263","42263","2019-12-21 14:57:15.353"
"911","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","71049","71049","2019-12-21 14:57:15.353"
"912","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX025","N/A","""Dec 2"," 2019 19:10:23 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.354"
"913","NULL","35291","SSL Certificate Signed Using Weak Hashing Algorithm","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","35291","35291","2019-12-21 14:57:15.354"
"914","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","42873","42873","2019-12-21 14:57:15.354"
"915","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","51192","51192","2019-12-21 14:57:15.354"
"916","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","57582","57582","2019-12-21 14:57:15.355"
"917","NULL","69551","SSL Certificate Chain Contains RSA Keys Less Than 2048 bits","General","Low","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","69551","69551","2019-12-21 14:57:15.355"
"918","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX025","N/A","""Sep 24"," 2019 07:02:31 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.355"
"919","NULL","83875","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)","Misc.","Low","EXAMPLE","TCP","443",,,"ServerHostEX024","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","83875","83875","2019-12-21 14:57:15.356"
"920","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX024","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.356"
"921","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.356"
"922","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.357"
"923","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX024","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.357"
"924","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.357"
"925","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.357"
"926","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX024","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.358"
"927","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.358"
"928","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.358"
"929","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX008","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.358"
"930","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.359"
"931","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.359"
"932","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX008","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.36"
"933","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.36"
"934","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.361"
"935","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX008","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.361"
"936","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.362"
"937","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.364"
"938","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX008","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.364"
"939","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.365"
"940","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.365"
"941","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX008","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","97861","97861","2019-12-21 14:57:15.365"
"942","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX008","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","42873","42873","2019-12-21 14:57:15.365"
"943","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX008","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","51192","51192","2019-12-21 14:57:15.366"
"944","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX008","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","57582","57582","2019-12-21 14:57:15.366"
"945","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX008","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.366"
"946","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX008","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.367"
"947","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.367"
"948","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.367"
"949","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.367"
"950","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.368"
"951","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 26"," 2019 07:29:01 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.368"
"952","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 26"," 2019 07:29:01 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.368"
"953","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 26"," 2019 07:29:01 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.368"
"954","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.369"
"955","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.369"
"956","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.369"
"957","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Dec 7"," 2019 00:28:09 EST""","""Dec 7","42873","42873","2019-12-21 14:57:15.37"
"958","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Dec 7"," 2019 00:28:09 EST""","""Dec 7","51192","51192","2019-12-21 14:57:15.37"
"959","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Dec 7"," 2019 00:28:09 EST""","""Dec 7","57582","57582","2019-12-21 14:57:15.37"
"960","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.371"
"961","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.371"
"962","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.371"
"963","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","42873","42873","2019-12-21 14:57:15.372"
"964","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","51192","51192","2019-12-21 14:57:15.372"
"965","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","57582","57582","2019-12-21 14:57:15.372"
"966","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 26"," 2019 07:29:01 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.373"
"967","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX023","N/A","""Oct 26"," 2019 07:29:01 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.373"
"968","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 26"," 2019 07:29:01 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.374"
"969","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","42873","42873","2019-12-21 14:57:15.374"
"970","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","51192","51192","2019-12-21 14:57:15.374"
"971","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Nov 15"," 2019 17:29:54 EST""","""Dec 7","57582","57582","2019-12-21 14:57:15.375"
"972","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.375"
"973","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.375"
"974","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.376"
"975","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.376"
"976","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.376"
"977","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.377"
"978","NULL","130011","Oracle Java SE 1.7.0_241 / 1.8.0_231 / 1.11.0_5 / 1.13.0_1 Multiple Vulnerabilities (Oct 2019 CPU) (Windows)","Windows","High","EXAMPLE","TCP","445",,,"ServerHostEX004","N/A","CVE-2019-2933","CVE-2019-2945","CVE-2019-2949","130011","130011","2019-12-21 14:57:15.377"
"979","NULL","131190","Google Chrome < 78.0.3904.108 Multiple Vulnerabilities","Windows","Medium","EXAMPLE","TCP","445",,,"ServerHostEX004","N/A","CVE-2019-13724""","""Dec 7"," 2019 00:28:09 EST""","131190","131190","2019-12-21 14:57:15.378"
"980","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Nov 14"," 2019 17:45:04 EST""","""Dec 7","42873","42873","2019-12-21 14:57:15.378"
"981","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Nov 14"," 2019 17:45:04 EST""","""Dec 7","51192","51192","2019-12-21 14:57:15.379"
"982","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Nov 14"," 2019 17:45:04 EST""","""Dec 7","57582","57582","2019-12-21 14:57:15.379"
"983","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.379"
"984","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.38"
"985","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 22"," 2019 12:32:39 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.38"
"986","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Dec 7"," 2019 00:28:09 EST""","""Dec 7","42873","42873","2019-12-21 14:57:15.381"
"987","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Dec 7"," 2019 00:28:09 EST""","""Dec 7","51192","51192","2019-12-21 14:57:15.381"
"988","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Dec 7"," 2019 00:28:09 EST""","""Dec 7","57582","57582","2019-12-21 14:57:15.381"
"989","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX004","N/A","""Oct 25"," 2019 19:48:33 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.382"
"990","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 25"," 2019 19:48:33 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.386"
"991","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 25"," 2019 19:48:33 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.386"
"992","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.387"
"993","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.387"
"994","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 24"," 2019 14:18:48 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.387"
"995","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 27"," 2019 14:53:40 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.388"
"996","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 27"," 2019 14:53:40 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.388"
"997","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 27"," 2019 14:53:40 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.388"
"998","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 25"," 2019 19:48:33 EDT""","""Dec 7","42873","42873","2019-12-21 14:57:15.388"
"999","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 25"," 2019 19:48:33 EDT""","""Dec 7","51192","51192","2019-12-21 14:57:15.389"
"1000","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","281",,,"ServerHostEX010","N/A","""Oct 25"," 2019 19:48:33 EDT""","""Dec 7","57582","57582","2019-12-21 14:57:15.389"
